날짜,회차,총 판매금액,판매 로또 수,1등 당첨 번호,1등 당첨 금액,1등 당첨 인원
2002-12-07,1,3681782000,1840891,"[10, 23, 29, 33, 37, 40]",0,0
2002-12-14,2,4904274000,2452137,"[9, 13, 21, 25, 32, 42]",2002006800,1
2002-12-21,3,4729342000,2364671,"[11, 16, 19, 21, 27, 31]",2000000000,1
2002-12-28,4,5271464000,2635732,"[14, 27, 30, 31, 40, 42]",0,0
2003-01-04,5,6277102000,3138551,"[16, 24, 29, 40, 41, 42]",0,0
2003-01-11,6,15305356000,7652678,"[14, 15, 26, 27, 40, 42]",6574451700,1
2003-01-18,7,12794890000,6397445,"[2, 9, 16, 25, 26, 40]",0,0
2003-01-25,8,20751450000,10375725,"[8, 19, 25, 34, 37, 39]",0,0
2003-02-01,9,73624020000,36812010,"[2, 4, 16, 17, 36, 39]",0,0
2003-02-08,10,260856392000,130428196,"[9, 25, 30, 33, 41, 44]",6430437900,13
2003-02-15,11,91925306000,45962653,"[1, 7, 36, 37, 41, 42]",4780152300,5
2003-02-22,12,76255508000,38127754,"[2, 11, 21, 25, 39, 45]",1348845700,12
2003-03-01,13,66532136000,33266068,"[22, 23, 25, 37, 38, 42]",0,0
2003-03-08,14,99838648000,49919324,"[2, 6, 12, 31, 33, 40]",9375048300,4
2003-03-15,15,73264910000,36632455,"[3, 4, 16, 30, 31, 37]",17014245000,1
2003-03-22,16,75777348000,37888674,"[6, 7, 24, 37, 38, 40]",4377146100,4
2003-03-29,17,72718152000,36359076,"[3, 4, 9, 17, 32, 37]",5349491200,3
2003-04-05,18,66371660000,33185830,"[3, 12, 13, 19, 32, 35]",0,0
2003-04-12,19,105957818000,52978909,"[6, 30, 38, 39, 40, 43]",40722959400,1
2003-04-19,20,81056776000,40528388,"[10, 14, 18, 20, 23, 30]",19352212800,1
2003-04-26,21,84247142000,42123571,"[6, 12, 17, 18, 31, 32]",797475400,23
2003-05-03,22,79455152000,39727576,"[4, 5, 6, 8, 17, 39]",4552194900,4
2003-05-10,23,77374256000,38687128,"[5, 13, 17, 18, 33, 42]",4317947700,4
2003-05-17,24,78486634000,39243317,"[7, 8, 27, 29, 36, 43]",0,0
2003-05-24,25,120073768000,60036884,"[2, 4, 21, 26, 43, 44]",24227745300,2
2003-05-31,26,80193026000,40096513,"[4, 5, 7, 18, 20, 25]",3495069900,5
2003-06-07,27,76145050000,38072525,"[1, 20, 26, 28, 37, 43]",9543982500,2
2003-06-14,28,75448366000,37724183,"[9, 18, 23, 25, 35, 37]",1700361100,10
2003-06-21,29,74523120000,37261560,"[1, 5, 13, 34, 39, 40]",3552594000,5
2003-06-28,30,72399690000,36199845,"[8, 17, 20, 35, 36, 44]",8728555500,2
2003-07-05,31,71317306000,35658653,"[7, 9, 18, 23, 28, 35]",8106672900,2
